Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.09
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,304.87
Elapsed Live Time:,303.33
Start Time:,September 15, 2023, 12:28:35
End Time:,September 15, 2023, 12:33:40
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,1
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,1
27,,5649
28,,7142
29,,5430
30,,4968
31,,4622
32,,4710
33,,4773
34,,4729
35,,4667
36,,4743
37,,4456
38,,4364
39,,4143
40,,3961
41,,3731
42,,3464
43,,3121
44,,2696
45,,2295
46,,1934
47,,1565
48,,1255
49,,991
50,,685
51,,550
52,,363
53,,285
54,,192
55,,171
56,,126
57,,102
58,,89
59,,88
60,,75
61,,75
62,,64
63,,55
64,,47
65,,57
66,,47
67,,38
68,,31
69,,38
70,,34
71,,45
72,,35
73,,43
74,,48
75,,45
76,,47
77,,52
78,,48
79,,38
80,,35
81,,46
82,,46
83,,41
84,,40
85,,48
86,,41
87,,45
88,,53
89,,44
90,,39
91,,46
92,,58
93,,51
94,,53
95,,46
96,,62
97,,46
98,,62
99,,73
100,,66
101,,71
102,,77
103,,68
104,,80
105,,80
106,,63
107,,82
108,,60
109,,78
110,,92
111,,85
112,,91
113,,82
114,,98
115,,84
116,,74
117,,82
118,,78
119,,87
120,,89
121,,98
122,,112
123,,116
124,,116
125,,99
126,,123
127,,113
128,,114
129,,111
130,,136
131,,136
132,,136
133,,130
134,,118
135,,145
136,,132
137,,171
138,,148
139,,136
140,,145
141,,151
142,,167
143,,138
144,,177
145,,158
146,,170
147,,183
148,,198
149,,205
150,,212
151,,196
152,,257
153,,243
154,,275
155,,299
156,,324
157,,330
158,,305
159,,383
160,,467
161,,419
162,,482
163,,469
164,,443
165,,465
166,,470
167,,442
168,,440
169,,433
170,,368
171,,361
172,,328
173,,325
174,,291
175,,224
176,,217
177,,201
178,,184
179,,152
180,,129
181,,107
182,,107
183,,84
184,,85
185,,102
186,,90
187,,97
188,,83
189,,74
190,,86
191,,68
192,,58
193,,58
194,,63
195,,79
196,,77
197,,62
198,,81
199,,66
200,,66
201,,69
202,,64
203,,72
204,,77
205,,80
206,,55
207,,62
208,,68
209,,59
210,,66
211,,65
212,,72
213,,73
214,,72
215,,68
216,,79
217,,65
218,,65
219,,71
220,,65
221,,73
222,,80
223,,48
224,,64
225,,67
226,,82
227,,70
228,,76
229,,62
230,,60
231,,69
232,,76
233,,58
234,,76
235,,63
236,,67
237,,70
238,,73
239,,67
240,,61
241,,73
242,,69
243,,62
244,,74
245,,57
246,,73
247,,76
248,,81
249,,64
250,,74
251,,67
252,,55
253,,60
254,,66
255,,67
256,,62
257,,63
258,,59
259,,70
260,,68
261,,64
262,,51
263,,58
264,,63
265,,42
266,,44
267,,62
268,,53
269,,46
270,,66
271,,49
272,,67
273,,64
274,,57
275,,34
276,,51
277,,71
278,,45
279,,35
280,,42
281,,43
282,,52
283,,58
284,,51
285,,48
286,,57
287,,51
288,,51
289,,55
290,,52
291,,49
292,,46
293,,53
294,,60
295,,47
296,,46
297,,47
298,,51
299,,47
300,,46
301,,54
302,,46
303,,49
304,,47
305,,54
306,,57
307,,48
308,,51
309,,55
310,,49
311,,53
312,,39
313,,41
314,,52
315,,35
316,,42
317,,52
318,,60
319,,52
320,,58
321,,58
322,,29
323,,58
324,,40
325,,42
326,,47
327,,56
328,,56
329,,42
330,,37
331,,47
332,,50
333,,44
334,,50
335,,42
336,,48
337,,51
338,,44
339,,42
340,,46
341,,37
342,,40
343,,48
344,,45
345,,45
346,,42
347,,39
348,,30
349,,45
350,,62
351,,41
352,,31
353,,49
354,,34
355,,43
356,,34
357,,37
358,,51
359,,38
360,,37
361,,45
362,,39
363,,33
364,,40
365,,37
366,,30
367,,44
368,,46
369,,30
370,,28
371,,43
