Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.09
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,304.18
Elapsed Live Time:,303.27
Start Time:,September 15, 2023, 12:16:08
End Time:,September 15, 2023, 12:21:12
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,9
28,,21
29,,28
30,,17
31,,21
32,,17
33,,15
34,,19
35,,18
36,,22
37,,26
38,,28
39,,18
40,,20
41,,27
42,,29
43,,24
44,,44
45,,38
46,,52
47,,49
48,,50
49,,59
50,,70
51,,85
52,,89
53,,92
54,,96
55,,117
56,,103
57,,111
58,,104
59,,90
60,,85
61,,73
62,,72
63,,75
64,,64
65,,60
66,,55
67,,61
68,,55
69,,54
70,,37
71,,45
72,,73
73,,56
74,,61
75,,39
76,,51
77,,40
78,,40
79,,53
80,,44
81,,57
82,,51
83,,56
84,,68
85,,44
86,,67
87,,55
88,,48
89,,48
90,,43
91,,43
92,,44
93,,46
94,,50
95,,60
96,,47
97,,46
98,,43
99,,59
100,,57
101,,52
102,,61
103,,59
104,,43
105,,59
106,,47
107,,80
108,,69
109,,72
110,,58
111,,63
112,,68
113,,81
114,,62
115,,93
116,,64
117,,76
118,,71
119,,78
120,,87
121,,88
122,,100
123,,115
124,,125
125,,120
126,,120
127,,147
128,,165
129,,138
130,,171
131,,165
132,,163
133,,170
134,,184
135,,170
136,,199
137,,194
138,,180
139,,192
140,,186
141,,203
142,,181
143,,184
144,,219
145,,204
146,,210
147,,202
148,,174
149,,204
150,,204
151,,208
152,,242
153,,207
154,,242
155,,211
156,,209
157,,239
158,,218
159,,239
160,,228
161,,258
162,,230
163,,233
164,,238
165,,229
166,,232
167,,230
168,,240
169,,225
170,,200
171,,191
172,,247
173,,220
174,,212
175,,208
176,,172
177,,178
178,,195
179,,185
180,,194
181,,176
182,,157
183,,188
184,,162
185,,156
186,,179
187,,174
188,,146
189,,160
190,,165
191,,160
192,,170
193,,172
194,,176
195,,197
196,,178
197,,201
198,,226
199,,212
200,,240
201,,262
202,,282
203,,344
204,,352
205,,396
206,,460
207,,478
208,,541
209,,593
210,,652
211,,730
212,,839
213,,899
214,,984
215,,1054
216,,1148
217,,1201
218,,1323
219,,1360
220,,1437
221,,1523
222,,1584
223,,1530
224,,1572
225,,1608
226,,1493
227,,1553
228,,1456
229,,1435
230,,1404
231,,1283
232,,1239
233,,1124
234,,1010
235,,969
236,,876
237,,770
238,,766
239,,650
240,,634
241,,565
242,,516
243,,484
244,,445
245,,416
246,,362
247,,312
248,,292
249,,303
250,,317
251,,272
252,,251
253,,243
254,,256
255,,198
256,,200
257,,192
258,,190
259,,131
260,,146
261,,138
262,,143
263,,129
264,,107
265,,100
266,,105
267,,109
268,,86
269,,83
270,,70
271,,71
272,,64
273,,70
274,,63
275,,74
276,,66
277,,57
278,,53
279,,61
280,,55
281,,49
282,,52
283,,61
284,,50
285,,57
286,,57
287,,48
288,,55
289,,44
290,,54
291,,47
292,,41
293,,46
294,,38
295,,49
296,,56
297,,45
298,,51
299,,53
300,,43
301,,39
302,,34
303,,52
304,,39
305,,62
306,,63
307,,47
308,,34
309,,50
310,,45
311,,43
312,,44
313,,37
314,,45
315,,41
316,,47
317,,37
318,,34
319,,37
320,,52
321,,46
322,,52
323,,38
324,,46
325,,48
326,,40
327,,48
328,,42
329,,41
330,,48
331,,42
332,,42
333,,41
334,,36
335,,39
336,,40
337,,39
338,,44
339,,39
340,,35
341,,30
342,,39
343,,36
344,,32
345,,38
346,,36
347,,42
348,,40
349,,29
350,,39
351,,34
352,,43
353,,37
354,,34
355,,31
356,,40
357,,43
358,,35
359,,26
360,,29
361,,32
362,,36
363,,41
364,,33
365,,38
366,,42
367,,45
368,,33
369,,24
370,,26
371,,27
