Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.09
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,302.65
Elapsed Live Time:,286.99
Start Time:,September 15, 2023, 12:41:08
End Time:,September 15, 2023, 12:46:10
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,14
1,,0
2,,1
3,,0
4,,4
5,,1
6,,2
7,,2
8,,3
9,,1
10,,3
11,,2
12,,3
13,,1
14,,1
15,,3
16,,4
17,,4
18,,3
19,,6
20,,7
21,,11
22,,3
23,,9
24,,17
25,,7
26,,16
27,,670
28,,794
29,,658
30,,558
31,,608
32,,634
33,,649
34,,675
35,,856
36,,916
37,,1062
38,,1179
39,,1475
40,,1813
41,,2308
42,,2927
43,,3758
44,,4882
45,,6444
46,,8410
47,,11139
48,,14610
49,,18790
50,,23925
51,,29191
52,,34159
53,,39755
54,,43589
55,,46374
56,,47130
57,,45485
58,,42660
59,,38076
60,,33023
61,,28117
62,,23280
63,,18928
64,,15582
65,,12993
66,,10393
67,,8354
68,,6573
69,,5169
70,,4127
71,,3111
72,,2335
73,,1973
74,,1555
75,,1247
76,,1118
77,,1036
78,,1029
79,,966
80,,983
81,,932
82,,1088
83,,1058
84,,1108
85,,1266
86,,1293
87,,1390
88,,1497
89,,1547
90,,1688
91,,1740
92,,1820
93,,1880
94,,1916
95,,2009
96,,1922
97,,1959
98,,2004
99,,2035
100,,1958
101,,1859
102,,1736
103,,1804
104,,1680
105,,1668
106,,1554
107,,1566
108,,1554
109,,1598
110,,1581
111,,1688
112,,1746
113,,1837
114,,2015
115,,2095
116,,2201
117,,2231
118,,2313
119,,2391
120,,2524
121,,2446
122,,2337
123,,2425
124,,2417
125,,2332
126,,2308
127,,2373
128,,2350
129,,2352
130,,2445
131,,2398
132,,2528
133,,2602
134,,2692
135,,2937
136,,3021
137,,3452
138,,3880
139,,4061
140,,4472
141,,5125
142,,5810
143,,6468
144,,7058
145,,7870
146,,8502
147,,9242
148,,10009
149,,10718
150,,11163
151,,11534
152,,11761
153,,11521
154,,11706
155,,11306
156,,10699
157,,10209
158,,9331
159,,8551
160,,7832
161,,6951
162,,5966
163,,5188
164,,4464
165,,3600
166,,3129
167,,2694
168,,2144
169,,1811
170,,1529
171,,1299
172,,1120
173,,935
174,,855
175,,742
176,,679
177,,645
178,,609
179,,594
180,,565
181,,561
182,,553
183,,558
184,,525
185,,592
186,,551
187,,558
188,,538
189,,601
190,,593
191,,600
192,,602
193,,596
194,,620
195,,677
196,,643
197,,665
198,,697
199,,693
200,,718
201,,752
202,,786
203,,826
204,,823
205,,858
206,,939
207,,959
208,,1009
209,,1089
210,,1029
211,,1166
212,,1248
213,,1220
214,,1201
215,,1258
216,,1262
217,,1233
218,,1284
219,,1222
220,,1230
221,,1152
222,,1124
223,,1061
224,,1067
225,,994
226,,964
227,,930
228,,850
229,,830
230,,765
231,,683
232,,745
233,,737
234,,638
235,,613
236,,655
237,,582
238,,571
239,,603
240,,530
241,,532
242,,515
243,,565
244,,514
245,,517
246,,516
247,,533
