Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.09
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,326.9
Elapsed Live Time:,323.65
Start Time:,September 15, 2023, 12:08:18
End Time:,September 15, 2023, 12:13:45
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,106
28,,125
29,,85
30,,81
31,,70
32,,89
33,,105
34,,92
35,,69
36,,115
37,,105
38,,130
39,,128
40,,132
41,,146
42,,145
43,,165
44,,176
45,,202
46,,245
47,,263
48,,296
49,,374
50,,451
51,,441
52,,495
53,,543
54,,600
55,,581
56,,594
57,,553
58,,549
59,,555
60,,486
61,,465
62,,396
63,,355
64,,305
65,,282
66,,267
67,,264
68,,204
69,,237
70,,208
71,,211
72,,167
73,,182
74,,186
75,,167
76,,173
77,,192
78,,194
79,,169
80,,183
81,,169
82,,181
83,,204
84,,195
85,,205
86,,174
87,,181
88,,175
89,,184
90,,188
91,,207
92,,168
93,,181
94,,157
95,,191
96,,172
97,,165
98,,172
99,,197
100,,178
101,,188
102,,212
103,,167
104,,185
105,,172
106,,177
107,,206
108,,177
109,,195
110,,175
111,,194
112,,208
113,,192
114,,201
115,,222
116,,245
117,,210
118,,222
119,,237
120,,231
121,,231
122,,252
123,,265
124,,292
125,,283
126,,288
127,,296
128,,328
129,,335
130,,338
131,,350
132,,319
133,,346
134,,379
135,,393
136,,365
137,,376
138,,340
139,,384
140,,386
141,,386
142,,396
143,,359
144,,371
145,,368
146,,401
147,,414
148,,392
149,,364
150,,356
151,,390
152,,413
153,,416
154,,389
155,,379
156,,377
157,,372
158,,362
159,,329
160,,335
161,,284
162,,307
163,,279
164,,264
165,,260
166,,219
167,,254
168,,232
169,,232
170,,223
171,,225
172,,206
173,,230
174,,196
175,,212
176,,192
177,,198
178,,197
179,,185
180,,215
181,,185
182,,208
183,,215
184,,206
185,,225
186,,187
187,,190
188,,172
189,,211
190,,212
191,,220
192,,183
193,,176
194,,220
195,,202
196,,225
197,,194
198,,192
199,,182
200,,199
201,,193
202,,198
203,,189
204,,201
205,,208
206,,195
207,,171
208,,192
209,,194
210,,194
211,,195
212,,192
213,,207
214,,202
215,,212
216,,212
217,,226
218,,226
219,,187
220,,202
221,,217
222,,219
223,,189
224,,226
225,,220
226,,205
227,,225
228,,216
229,,203
230,,192
231,,178
232,,209
233,,196
234,,203
235,,186
236,,207
237,,216
238,,198
239,,199
240,,188
241,,188
242,,203
243,,198
244,,190
245,,200
246,,183
247,,211
248,,213
249,,206
250,,205
251,,200
252,,184
253,,203
254,,178
255,,189
256,,226
257,,184
258,,187
259,,193
260,,220
261,,208
262,,206
263,,190
264,,204
265,,173
266,,194
267,,236
268,,198
269,,195
270,,211
271,,193
272,,176
273,,196
274,,185
275,,181
276,,204
277,,213
278,,203
279,,212
280,,189
281,,231
282,,184
283,,182
284,,210
285,,173
286,,197
287,,168
288,,204
289,,220
290,,195
291,,191
292,,208
293,,205
294,,172
295,,199
296,,187
297,,166
298,,203
299,,183
300,,187
301,,188
302,,203
303,,169
304,,189
305,,179
306,,190
307,,194
308,,177
309,,209
310,,170
311,,188
312,,204
313,,202
314,,212
315,,195
316,,173
317,,175
318,,201
319,,181
320,,216
321,,163
322,,183
323,,182
324,,196
325,,177
326,,185
327,,190
328,,168
329,,188
330,,176
331,,169
332,,175
333,,180
334,,215
335,,169
336,,173
337,,205
338,,194
339,,172
340,,183
341,,183
342,,201
343,,198
344,,185
345,,174
346,,182
347,,189
348,,176
349,,186
350,,194
351,,170
352,,184
353,,179
354,,196
355,,199
356,,189
357,,191
358,,185
359,,194
360,,192
361,,225
362,,202
363,,201
364,,205
365,,209
366,,207
367,,198
368,,229
369,,191
370,,224
371,,232
372,,217
373,,197
374,,209
375,,193
