Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.09
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,310.33
Elapsed Live Time:,308.95
Start Time:,September 15, 2023, 12:22:44
End Time:,September 15, 2023, 12:27:54
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,52
28,,63
29,,52
30,,41
31,,46
32,,44
33,,42
34,,46
35,,47
36,,47
37,,51
38,,65
39,,56
40,,54
41,,61
42,,79
43,,73
44,,87
45,,102
46,,69
47,,99
48,,109
49,,121
50,,131
51,,137
52,,164
53,,166
54,,171
55,,198
56,,180
57,,184
58,,194
59,,181
60,,153
61,,149
62,,128
63,,123
64,,132
65,,129
66,,135
67,,122
68,,130
69,,125
70,,108
71,,101
72,,113
73,,118
74,,109
75,,121
76,,121
77,,100
78,,114
79,,104
80,,116
81,,128
82,,115
83,,111
84,,109
85,,122
86,,120
87,,109
88,,105
89,,110
90,,115
91,,116
92,,114
93,,101
94,,115
95,,125
96,,114
97,,116
98,,121
99,,101
100,,114
101,,115
102,,107
103,,118
104,,130
105,,130
106,,125
107,,123
108,,125
109,,154
110,,139
111,,132
112,,126
113,,106
114,,137
115,,135
116,,155
117,,155
118,,173
119,,152
120,,167
121,,149
122,,139
123,,171
124,,140
125,,180
126,,186
127,,187
128,,196
129,,220
130,,195
131,,225
132,,240
133,,221
134,,231
135,,217
136,,217
137,,240
138,,244
139,,238
140,,241
141,,260
142,,226
143,,236
144,,215
145,,230
146,,201
147,,229
148,,217
149,,198
150,,207
151,,190
152,,228
153,,203
154,,219
155,,185
156,,201
157,,200
158,,198
159,,202
160,,195
161,,163
162,,175
163,,171
164,,151
165,,163
166,,176
167,,149
168,,143
169,,166
170,,141
171,,136
172,,147
173,,165
174,,146
175,,145
176,,138
177,,152
178,,129
179,,130
180,,142
181,,138
182,,126
183,,141
184,,155
185,,125
186,,162
187,,147
188,,156
189,,129
190,,144
191,,139
192,,149
193,,131
194,,135
195,,142
196,,131
197,,140
198,,147
199,,121
200,,132
201,,165
202,,122
203,,148
204,,142
205,,148
206,,123
207,,137
208,,145
209,,134
210,,142
211,,137
212,,119
213,,135
214,,125
215,,129
216,,142
217,,148
218,,134
219,,131
220,,129
221,,135
222,,150
223,,150
224,,118
225,,129
226,,152
227,,148
228,,149
229,,137
230,,135
231,,110
232,,148
233,,126
234,,148
235,,112
236,,130
237,,136
238,,140
239,,144
240,,133
241,,138
242,,152
243,,140
244,,131
245,,144
246,,148
247,,131
248,,135
249,,144
250,,120
251,,144
252,,117
253,,137
254,,144
255,,128
256,,129
257,,137
258,,119
259,,139
260,,133
261,,133
262,,115
263,,138
264,,116
265,,139
266,,135
267,,114
268,,110
269,,105
270,,145
271,,125
272,,136
273,,102
274,,115
275,,134
276,,126
277,,140
278,,123
279,,119
280,,143
281,,117
282,,122
283,,136
284,,136
285,,138
286,,139
287,,117
288,,130
289,,122
290,,121
291,,118
292,,132
293,,133
294,,126
295,,152
296,,125
297,,141
298,,146
299,,152
300,,112
301,,139
302,,129
303,,139
304,,124
305,,134
306,,145
307,,146
308,,162
309,,137
310,,135
311,,127
312,,124
313,,143
314,,118
315,,157
316,,153
317,,148
318,,160
319,,131
320,,160
321,,132
322,,136
323,,143
324,,132
325,,138
326,,153
327,,128
328,,162
329,,133
330,,156
331,,147
332,,145
333,,134
334,,159
335,,151
336,,155
337,,150
338,,154
339,,158
340,,148
341,,128
342,,137
343,,148
344,,161
345,,142
346,,133
347,,124
348,,141
349,,137
350,,151
351,,159
352,,164
353,,140
354,,152
355,,124
356,,128
357,,143
358,,114
359,,155
360,,145
361,,135
362,,124
363,,138
364,,158
365,,135
366,,135
367,,132
368,,155
369,,133
370,,122
371,,131
372,,148
373,,134
374,,149
375,,134
