Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.09
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,305.18
Elapsed Live Time:,301.71
Start Time:,September 15, 2023, 12:46:55
End Time:,September 15, 2023, 12:52:00
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,1
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,1
25,,0
26,,0
27,,160
28,,187
29,,119
30,,112
31,,113
32,,105
33,,110
34,,124
35,,141
36,,144
37,,155
38,,160
39,,163
40,,180
41,,198
42,,195
43,,214
44,,301
45,,353
46,,385
47,,551
48,,646
49,,804
50,,959
51,,1283
52,,1583
53,,1933
54,,2202
55,,2586
56,,2771
57,,2997
58,,2958
59,,3095
60,,2713
61,,2504
62,,2257
63,,1758
64,,1554
65,,1351
66,,1149
67,,1045
68,,890
69,,781
70,,731
71,,575
72,,508
73,,445
74,,411
75,,348
76,,314
77,,323
78,,296
79,,279
80,,285
81,,267
82,,263
83,,253
84,,251
85,,281
86,,253
87,,251
88,,238
89,,251
90,,262
91,,254
92,,235
93,,230
94,,245
95,,244
96,,242
97,,250
98,,260
99,,269
100,,261
101,,256
102,,255
103,,257
104,,241
105,,244
106,,259
107,,275
108,,259
109,,264
110,,265
111,,241
112,,283
113,,255
114,,262
115,,263
116,,271
117,,311
118,,243
119,,297
120,,289
121,,300
122,,334
123,,349
124,,318
125,,360
126,,342
127,,351
128,,346
129,,363
130,,400
131,,413
132,,442
133,,469
134,,457
135,,452
136,,419
137,,438
138,,441
139,,457
140,,462
141,,445
142,,461
143,,426
144,,399
145,,412
146,,413
147,,416
148,,365
149,,370
150,,358
151,,348
152,,351
153,,366
154,,364
155,,365
156,,363
157,,317
158,,319
159,,379
160,,337
161,,294
162,,311
163,,297
164,,314
165,,289
166,,311
167,,312
168,,332
169,,277
170,,289
171,,307
172,,283
173,,292
174,,285
175,,272
176,,268
177,,315
178,,269
179,,279
180,,260
181,,251
182,,251
183,,227
184,,251
185,,235
186,,269
187,,251
188,,261
189,,267
190,,238
191,,263
192,,291
193,,239
194,,278
195,,268
196,,257
197,,288
198,,264
199,,270
200,,250
201,,260
202,,235
203,,265
204,,241
205,,273
206,,270
207,,252
208,,274
209,,282
210,,252
211,,277
212,,247
213,,278
214,,276
215,,274
216,,250
217,,264
218,,248
219,,247
220,,274
221,,273
222,,270
223,,266
224,,248
225,,241
226,,295
227,,249
228,,296
229,,277
230,,265
231,,276
232,,239
233,,289
234,,294
235,,267
236,,257
237,,276
238,,277
239,,233
240,,264
241,,247
242,,303
243,,314
244,,250
245,,243
246,,258
247,,260
248,,247
249,,270
250,,231
251,,258
252,,230
253,,279
254,,260
255,,249
256,,260
257,,251
258,,251
259,,258
260,,270
261,,274
262,,263
263,,244
264,,240
265,,253
266,,285
267,,251
268,,270
269,,265
270,,270
271,,252
272,,236
273,,274
274,,268
275,,280
276,,229
277,,256
278,,252
279,,227
280,,278
281,,272
282,,240
283,,275
284,,259
285,,236
286,,239
287,,260
288,,253
289,,253
290,,258
291,,243
292,,239
293,,293
294,,282
295,,263
296,,244
297,,251
298,,277
299,,244
300,,236
301,,263
302,,244
303,,264
304,,265
305,,249
306,,251
307,,251
308,,255
309,,260
310,,278
311,,263
312,,276
313,,288
314,,266
315,,303
316,,298
317,,291
318,,298
319,,298
320,,323
321,,290
322,,332
323,,301
324,,348
325,,293
326,,331
327,,339
328,,341
329,,328
330,,298
331,,361
332,,324
333,,336
334,,318
335,,334
336,,352
337,,312
338,,351
339,,326
340,,315
341,,364
342,,333
343,,352
344,,307
345,,387
346,,346
347,,347
348,,325
349,,311
350,,350
351,,342
352,,392
353,,330
354,,332
355,,323
356,,317
357,,356
358,,318
359,,342
360,,300
361,,305
362,,312
363,,307
364,,329
365,,313
366,,307
367,,315
368,,346
369,,328
370,,312
371,,325
372,,354
