Peak 1:,,,Peak 2:,
409.901,0.40581,,410.02,0.40538
409.9011,0.40574,,410.0201,0.40533
409.9012,0.40582,,410.0202,0.40537
409.9013,0.40558,,410.0203,0.40574
409.9014,0.40583,,410.0204,0.40569
409.9015,0.40602,,410.0205,0.40547
409.9016,0.40606,,410.0206,0.40552
409.9017,0.40581,,410.0207,0.40553
409.9018,0.40591,,410.0208,0.4055
409.9019,0.40539,,410.0209,0.4057
409.902,0.40576,,410.021,0.40545
409.9021,0.40576,,410.0211,0.40572
409.9022,0.40563,,410.0212,0.40577
409.9023,0.40539,,410.0213,0.40577
409.9024,0.40596,,410.0214,0.40569
409.9025,0.4055,,410.0215,0.40574
409.9026,0.40613,,410.0216,0.40552
409.9027,0.40583,,410.0217,0.40564
409.9028,0.40592,,410.0218,0.40587
409.9029,0.40574,,410.0219,0.40566
409.903,0.40569,,410.022,0.40564
409.9031,0.40541,,410.0221,0.40567
409.9032,0.40558,,410.0222,0.40561
409.9033,0.4057,,410.0223,0.40553
409.9034,0.40549,,410.0224,0.4058
409.9035,0.40594,,410.0225,0.40563
409.9036,0.40597,,410.0226,0.40539
409.9037,0.40593,,410.0227,0.40552
409.9038,0.40536,,410.0228,0.40553
409.9039,0.40592,,410.0229,0.40559
409.904,0.40553,,410.023,0.40556
409.9041,0.4057,,410.0231,0.40577
409.9042,0.40556,,410.0232,0.40567
409.9043,0.40599,,410.0233,0.40554
409.9044,0.40597,,410.0234,0.40561
409.9045,0.4057,,410.0235,0.40602
409.9046,0.40581,,410.0236,0.40578
409.9047,0.40582,,410.0237,0.40564
409.9048,0.40597,,410.0238,0.40561
409.9049,0.40588,,410.0239,0.40565
409.905,0.4056,,410.024,0.40558
409.9051,0.40565,,410.0241,0.40587
409.9052,0.40578,,410.0242,0.406
409.9053,0.40577,,410.0243,0.40549
409.9054,0.40606,,410.0244,0.40567
409.9055,0.40638,,410.0245,0.4056
409.9056,0.40578,,410.0246,0.40556
409.9057,0.40586,,410.0247,0.40536
409.9058,0.40591,,410.0248,0.40567
409.9059,0.40598,,410.0249,0.40552
409.906,0.40574,,410.025,0.40545
409.9061,0.40608,,410.0251,0.4055
409.9062,0.40591,,410.0252,0.40561
409.9063,0.4058,,410.0253,0.4055
409.9064,0.40609,,410.0254,0.40541
409.9065,0.40628,,410.0255,0.4055
409.9066,0.40575,,410.0256,0.40588
409.9067,0.40535,,410.0257,0.40596
409.9068,0.40616,,410.0258,0.40561
409.9069,0.40567,,410.0259,0.40572
409.907,0.40559,,410.026,0.40582
409.9071,0.40581,,410.0261,0.40538
409.9072,0.40575,,410.0262,0.40586
409.9073,0.40541,,410.0263,0.40535
409.9074,0.4057,,410.0264,0.40559
409.9075,0.40569,,410.0265,0.40588
409.9076,0.40596,,410.0266,0.40561
409.9077,0.40569,,410.0267,0.40554
409.9078,0.40561,,410.0268,0.40596
409.9079,0.40569,,410.0269,0.40537
409.908,0.40594,,410.027,0.40556
409.9081,0.40596,,410.0271,0.40559
