Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,51
Base Time Seconds,1706967162
Base Time Fractional,.707195360
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,4.075012111571e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000127301,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:42,.707195360
2,3.773023490794e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000099915869,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:42,.876604180
3,3.553384158295e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000199921906,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:43,.046018060
4,3.471030504443e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000299833191,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:43,.215436540
5,3.114131686743e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000399861601,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:43,.384843220
6,2.839593798853e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000499878151,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:43,.554262880
7,2.743501681834e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000599912019,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:43,.723684500
8,2.647412475199e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000699945231,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:43,.893096640
9,2.304241934326e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000799977061,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:44,.062517340
10,2.331695577595e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000899852530,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:44,.231944540
11,2.098336699419e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000999898984,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:44,.401362140
12,2.441504329909e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001099916117,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:44,.570770900
13,2.221879549325e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001199962862,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:44,.740206420
14,2.414050686639e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001300006988,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:44,.909608060
15,2.276779559907e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001399850153,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:45,.079024820
16,2.427776053082e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001499889040,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:45,.248456580
17,2.551314537413e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001599923417,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:45,.417870820
18,2.523862349335e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001699965796,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:45,.587295860
19,2.935658267234e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001799987222,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:45,.756697020
20,3.031748929061e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001900035568,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:45,.926100220
21,3.361181006767e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001999881788,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:46,.095509000
22,3.443546302151e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002099912817,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:46,.264913520
23,3.91025969293e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002199976298,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:46,.434327340
24,4.129887383897e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002299980115,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:46,.603740020
25,4.596590588335e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002400023077,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:46,.773134500
26,4.747587081511e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002500065020,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:46,.942558400
27,6.408522312995e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002599917643,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:47,.111971640
28,6.477150600404e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002699927136,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:47,.281387000
29,5.914355278946e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002799977374,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:47,.450801820
30,6.449689681176e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002900007821,Amp DC,.001,T,4W,F,F,02/03/2024,13:32:47,.620207540
