Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,51
Base Time Seconds,1706970343
Base Time Fractional,.721568160
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,4.980838275515e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000123812,Amp DC,.001,T,4W,F,F,02/03/2024,14:25:43,.721568160
2,0.0009229627903551,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000099917206,Amp DC,.001,T,4W,F,F,02/03/2024,14:25:43,.891013140
3,0.001785958884284,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000199928163,Amp DC,.001,T,4W,F,F,02/03/2024,14:25:44,.060434980
4,0.002654034178704,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000299832336,Amp DC,.001,T,4W,F,F,02/03/2024,14:25:44,.229858840
5,0.003515657270327,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000399861383,Amp DC,.001,T,4W,F,F,02/03/2024,14:25:44,.399277100
6,0.004394025541842,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000499877788,Amp DC,.001,T,4W,F,F,02/03/2024,14:25:44,.568685880
7,0.005260592326522,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000599917512,Amp DC,.001,T,4W,F,F,02/03/2024,14:25:44,.738116560
8,0.006129488814622,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000699947777,Amp DC,.001,T,4W,F,F,02/03/2024,14:25:44,.907548520
9,0.006999349221587,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000799981863,Amp DC,.001,T,4W,F,F,02/03/2024,14:25:45,.076973580
10,0.007873872295022,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000899857041,Amp DC,.001,T,4W,F,F,02/03/2024,14:25:45,.246421240
11,0.008742495439947,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000999899930,Amp DC,.001,T,4W,F,F,02/03/2024,14:25:45,.415849820
12,0.009613862261176,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001099914080,Amp DC,.001,T,4W,F,F,02/03/2024,14:25:45,.585277860
13,0.01048509776592,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001199964536,Amp DC,.001,T,4W,F,F,02/03/2024,14:25:45,.754706600
14,0.01135674212128,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001300003350,Amp DC,.001,T,4W,F,F,02/03/2024,14:25:45,.924139580
15,0.01223194785416,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001399848843,Amp DC,.001,T,4W,F,F,02/03/2024,14:25:46,.093570080
