Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,51
Base Time Seconds,1706971467
Base Time Fractional,.833884740
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.839452645276e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000125907,Amp DC,.001,T,4W,F,F,02/03/2024,14:44:27,.833884740
2,-0.0008635919657536,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000099918434,Amp DC,.001,T,4W,F,F,02/03/2024,14:44:28,.003317760
3,-0.001750642666593,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000199925726,Amp DC,.001,T,4W,F,F,02/03/2024,14:44:28,.172744520
4,-0.002639889717102,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000299831754,Amp DC,.001,T,4W,F,F,02/03/2024,14:44:28,.342161700
5,-0.003530782880262,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000399861274,Amp DC,.001,T,4W,F,F,02/03/2024,14:44:28,.511596640
6,-0.004416323266923,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000499877569,Amp DC,.001,T,4W,F,F,02/03/2024,14:44:28,.681014100
7,-0.005306393373758,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000599914092,Amp DC,.001,T,4W,F,F,02/03/2024,14:44:28,.850445960
8,-0.006193305831403,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000699947777,Amp DC,.001,T,4W,F,F,02/03/2024,14:44:29,.019867760
9,-0.007079672534019,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000799979753,Amp DC,.001,T,4W,F,F,02/03/2024,14:44:29,.189277060
10,-0.007969192229211,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000899850711,Amp DC,.001,T,4W,F,F,02/03/2024,14:44:29,.358717980
11,-0.008852398954332,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000999903205,Amp DC,.001,T,4W,F,F,02/03/2024,14:44:29,.528148460
12,-0.00973629206419,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001099920410,Amp DC,.001,T,4W,F,F,02/03/2024,14:44:29,.697561080
13,-0.01062594819814,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001199964463,Amp DC,.001,T,4W,F,F,02/03/2024,14:44:29,.866981840
14,-0.01151244528592,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001300005242,Amp DC,.001,T,4W,F,F,02/03/2024,14:44:30,.036410600
15,-0.01239743642509,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001399846951,Amp DC,.001,T,4W,F,F,02/03/2024,14:44:30,.205826300
16,-0.0132821528241,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001499888313,Amp DC,.001,T,4W,F,F,02/03/2024,14:44:30,.375262180
17,-0.01416632160544,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001599920943,Amp DC,.001,T,4W,F,F,02/03/2024,14:44:30,.544691680
18,-0.01505006942898,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001699962158,Amp DC,.001,T,4W,F,F,02/03/2024,14:44:30,.714102940
19,-0.01593670621514,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001799988968,Amp DC,.001,T,4W,F,F,02/03/2024,14:44:30,.883538140
