Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,51
Base Time Seconds,1706967971
Base Time Fractional,.161620780
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,2.976827090606e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000128000,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:11,.161620780
2,1.782602339517e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000099914932,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:11,.331032860
3,-4.136833013035e-06,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000199923579,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:11,.500443240
4,-2.198160655098e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000299834519,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:11,.669853740
5,-3.66692620446e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000399857054,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:11,.839252160
6,-5.533764488064e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000499878188,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:12,.008659000
7,-6.467179628089e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000599913583,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:12,.178063620
8,-7.675135566387e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000699946468,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:12,.347461960
9,-9.088989463635e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000799977570,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:12,.516881860
10,-0.0001029694540193,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000899853112,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:12,.686299820
11,-0.0001158725790447,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000999901604,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:12,.855694680
12,-0.0001260303688468,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001099914734,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:13,.025110760
13,-0.0001383844355587,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001199960971,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:13,.194509000
14,-0.0001496408076491,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001300002768,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:13,.363911740
15,-0.0001595244393684,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001399852335,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:13,.533331240
16,-0.000170368963154,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001499889622,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:13,.702737360
17,-0.0001810762332752,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001599922980,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:13,.872142960
18,-0.0001910971477628,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001699964341,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:14,.041551720
19,-0.0002012552868109,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001799985766,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:14,.210972620
20,-0.0002103153092321,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001900033094,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:14,.380381220
21,-0.0002181398303946,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001999882952,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:14,.549786400
22,-0.0002263761853101,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002099911653,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:14,.719192400
23,-0.0002357107005082,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002199971932,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:14,.888598960
24,-0.0002439470699755,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002299974585,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:15,.057993960
25,-0.0002494379878044,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002400024969,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:15,.227414560
26,-0.0002457316149957,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002500060655,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:15,.396814380
27,-0.0002630279050209,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002599912987,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:15,.566225260
28,-0.0002683815546334,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002699931210,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:15,.735649140
29,-0.0002730487613007,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002799978538,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:15,.905055540
30,-0.0002768924168777,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002900006948,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:16,.074467540
31,-0.0002800497168209,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003000040306,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:16,.243876080
32,-0.0002836187195498,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003099923488,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:16,.413277640
33,-0.0002859523519874,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003199939383,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:16,.582688780
34,-0.0002924041764345,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003299952077,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:16,.752086720
35,-0.0002985814062413,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003399991838,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:16,.921512540
36,-0.0003050331433769,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003500011517,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:17,.090929620
37,-0.0003150540287606,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003600027121,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:17,.260326240
38,-0.0003252122842241,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003699901572,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:17,.429742220
39,-0.0003360565751791,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003799921251,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:17,.599146460
40,-0.0003466267080512,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003899961011,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:17,.768541640
41,-0.0003555494477041,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0003999983019,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:17,.937947440
42,-0.000366943073459,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004100026563,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:18,.107368500
43,-0.0003755911602639,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004199869290,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:18,.276780600
44,-0.0003873964888044,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004299903812,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:18,.446190240
45,-0.0003972801496275,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004399972386,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:18,.615615500
46,-0.000407301064115,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004499961215,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:18,.785027820
47,-0.0004180081887171,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004600000684,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:18,.954423920
48,-0.0004283036687411,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004700038116,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:19,.123828840
49,-0.0004388734814711,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004799904127,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:19,.293237280
50,-0.0004490315914154,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004899890628,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:19,.462654420
51,-0.0004593271296471,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0004999930970,Amp DC,.001,T,4W,F,F,02/03/2024,13:46:19,.632055220
