Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,51
Base Time Seconds,1706971058
Base Time Fractional,.120792620
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,5.543611769099e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000125209,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:38,.120792620
2,0.0009339425014332,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000099917761,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:38,.290228200
3,0.001819175202399,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000199925144,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:38,.459647460
4,0.002708800835535,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000299833428,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:38,.629082040
5,0.003600207623094,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000399860764,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:38,.798512720
6,0.004473088309169,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000499876078,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:38,.967931620
7,0.005364082753658,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000599911691,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:39,.137353140
8,0.00625014025718,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000699945667,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:39,.306772460
9,0.007135235704482,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000799977497,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:39,.476200240
10,0.008024722337723,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000899854276,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:39,.645624420
11,0.008915165439248,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000999902186,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:39,.815050060
12,0.009800258092582,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001099919027,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:39,.984458500
13,0.01067959051579,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001199964245,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:40,.153874200
14,0.01157017517835,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001300004951,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:40,.323312660
15,0.01245938334614,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001399849716,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:40,.492716960
16,0.01333912555128,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001499892096,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:40,.662151720
17,0.01421928126365,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001599924290,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:40,.831573540
18,0.01511947251856,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001699967543,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:41,.000995320
19,0.01598795689642,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001799992024,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:41,.170399020
20,0.01687523722649,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001900028874,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:41,.339836200
21,0.01775333285332,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0001999883389,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:41,.509254000
22,0.01864941418171,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002099916601,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:41,.678659560
23,0.01951925829053,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002199970331,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:41,.848092200
24,0.02040462568402,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002299976913,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:42,.017497000
25,0.02128999680281,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002400019293,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:42,.186910340
26,0.02216905914247,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002500064729,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:42,.356331740
27,0.0230449475348,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0002599912987,Amp DC,.001,T,4W,F,F,02/03/2024,14:37:42,.525737460
