Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,51
Base Time Seconds,1707927704
Base Time Fractional,.281103500
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,8.850858284859e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000097966,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:44,.281103500
2,9.301513637183e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000099945592,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:44,.450535120
3,0.0001012631764752,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000199955684,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:44,.619932680
4,0.0001061524162651,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000299862368,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:44,.789342940
5,0.0001154773999588,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000399891833,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:44,.958752000
6,0.0001200548795168,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000499906746,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:45,.128166800
7,0.0001303435710724,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000599943232,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:45,.297584740
8,0.0001329086371697,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000699975499,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:45,.467003020
9,0.0001430131378584,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000800008711,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:45,.636407840
10,0.0001490786962677,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000899884035,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:45,.805826240
11,0.0001598490925971,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000999931071,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:45,.975250720
12,0.0001670483325142,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001099949295,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:46,.144660940
13,0.0001780883176252,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001199999897,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:46,.314082300
14,0.0001844939542934,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001300036238,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:46,.483505680
15,0.0001941023510881,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001399883040,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:46,.652920300
16,0.0001999410742428,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001499917998,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:46,.822341460
17,0.0002134042442776,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001599956304,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:46,.991763360
18,0.0002183076867368,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001699999993,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:47,.161176900
19,0.0002326069807168,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001800026512,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:47,.330604280
20,0.0002412942121737,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001900070056,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:47,.500018400
21,0.0002536378160585,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001999915257,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:47,.669418060
22,0.0002610213705339,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002099948615,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:47,.838832960
23,0.0002740450436249,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002200005401,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:48,.008232260
24,0.0002837669162545,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002300010674,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:48,.177648300
25,0.0003028989012819,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002400059602,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:48,.347066640
26,0.0003116571169812,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002500097326,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:48,.516463040
27,0.0003278693766333,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002599953441,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:48,.685882020
28,0.0003371094353497,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002699963516,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:48,.855281360
29,0.0003521029721014,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002800012589,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:49,.024698140
30,0.0003616547910497,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002900044201,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:49,.194108660
31,0.0003806449240074,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003000072320,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:49,.363507100
32,0.0003862427838612,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003099960741,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:49,.532923280
33,0.0004034614248667,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003199977509,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:49,.702350380
34,0.0004138918011449,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003299992532,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:49,.871770800
35,0.0004288570489734,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003400031710,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:50,.041190580
36,0.0004388054949231,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003500050807,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:50,.210604740
37,0.0004545928095467,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003600062628,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:50,.380022260
38,0.0004662986611947,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003699938825,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:50,.549434280
39,0.0004798469599336,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003799967235,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:50,.718849700
40,0.0004947553970851,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003899997100,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:50,.888262400
41,0.0005091256462038,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004000022891,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:51,.057692200
42,0.0005230847746134,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004100062652,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:51,.227105260
43,0.0005369728896767,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004199914110,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:51,.396522600
44,0.0005519384285435,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004299947177,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:51,.565929780
45,0.000567881623283,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004400018079,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:51,.735330440
46,0.0005863755359314,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004500001960,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:51,.904739960
47,0.0005980813875794,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004600047250,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:52,.074151020
48,0.0006123806815594,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004700087593,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:52,.243553980
49,0.0006238172645681,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004799954186,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:52,.412985140
50,0.0006423537852243,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004899941850,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:52,.582400520
51,0.00066120212432,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004999981611,Amp DC,.001,T,4W,F,F,02/14/2024,16:21:52,.751835400
