Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,51
Base Time Seconds,1707927903
Base Time Fractional,.341346280
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,7.532820018241e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000095174,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:03,.341346280
2,6.790224142605e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000099945937,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:03,.510760080
3,6.345229485305e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000199959795,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:03,.680168060
4,5.84495937801e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000299861786,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:03,.849590440
5,5.296516610542e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000399890378,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:04,.018994700
6,5.008828156861e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000499911803,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:04,.188420360
7,4.579425876727e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000599947343,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:04,.357820780
8,4.134434857406e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000699977973,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:04,.527223500
9,3.947367076762e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000800011330,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:04,.696656280
10,3.814149386017e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000899885199,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:04,.866045940
11,3.652589657577e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000999937256,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:05,.035470840
12,3.93460795749e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001099949732,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:05,.204894100
13,4.689958586823e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001199997423,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:05,.374308620
14,5.266750667943e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001300035947,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:05,.543733420
15,3.97711264668e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001399880857,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:05,.713156400
16,3.370565536898e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001499920763,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:05,.882563300
17,2.854716149159e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001599955431,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:06,.051977160
18,3.254358307458e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001699999993,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:06,.221406160
19,7.138951332308e-07,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001800021855,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:06,.390823200
20,3.354980435688e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001900071366,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:06,.560239600
21,3.588810795918e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001999915548,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:06,.729655440
22,4.70128870802e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002099943522,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:06,.899065120
23,4.381008329801e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002200005983,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:07,.068489980
24,5.057000817033e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002300011547,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:07,.237901940
25,4.840169276576e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002400058875,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:07,.407316420
26,5.819433863508e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002500098199,Amp DC,.001,T,4W,F,F,02/14/2024,16:25:07,.576741240
