Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,51
Base Time Seconds,1707928388
Base Time Fractional,.928192180
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,3.306659345981e-05,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000125899,Amp DC,.001,T,4W,F,F,02/14/2024,16:33:08,.928192180
2,-0.0008368444396183,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000099915087,Amp DC,.001,T,4W,F,F,02/14/2024,16:33:09,.097596620
3,-0.001707173418254,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000199929491,Amp DC,.001,T,4W,F,F,02/14/2024,16:33:09,.266990340
4,-0.002576679456979,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000299835756,Amp DC,.001,T,4W,F,F,02/14/2024,16:33:09,.436409680
5,-0.003444537753239,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000399864111,Amp DC,.001,T,4W,F,F,02/14/2024,16:33:09,.605801160
6,-0.004314042627811,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000499883390,Amp DC,.001,T,4W,F,F,02/14/2024,16:33:09,.775191460
7,-0.005181763321161,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000599917948,Amp DC,.001,T,4W,F,F,02/14/2024,16:33:09,.944602240
8,-0.006049894727767,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000699954617,Amp DC,.001,T,4W,F,F,02/14/2024,16:33:10,.113987200
9,-0.006916240323335,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000799986155,Amp DC,.001,T,4W,F,F,02/14/2024,16:33:10,.283379140
10,-0.007782175671309,Volt DC,1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000899853840,Amp DC,.001,T,4W,F,F,02/14/2024,16:33:10,.452792920
