Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,51
Base Time Seconds,1707928242
Base Time Fractional,.804024600
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,4.672895738622e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000094478,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:42,.804024600
2,5.207164940657e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000099942545,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:42,.973416260
3,5.48209718545e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000199955157,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:43,.142818260
4,5.927080201218e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000299867042,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:43,.312220060
5,6.251609738683e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000399891396,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:43,.481614460
6,6.785877485527e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000499910784,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:43,.651024800
7,7.495878526242e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000599949890,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:43,.820447920
8,8.101003913907e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000699981829,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:43,.989838840
9,8.869103476172e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000800012931,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:44,.159232980
10,9.335355571238e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000899885345,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:44,.328658640
11,9.946150385076e-05,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0000999934709,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:44,.498049320
12,0.0001080212168745,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001099949513,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:44,.667459440
13,0.000116269053251,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001199998078,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:44,.836874780
14,0.000124658603454,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001300037256,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:45,.006257000
15,0.0001344228221569,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001399883331,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:45,.175669800
16,0.0001419338514097,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001499923383,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:45,.345077640
17,0.0001537529169582,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001599956158,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:45,.514470700
18,0.0001622559211683,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001700001594,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:45,.683878680
19,0.000173564767465,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001800020109,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:45,.853276460
20,0.0001822378253564,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001900066709,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:46,.022673160
21,0.0001938585483003,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0001999917004,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:46,.192067900
22,0.0002048274618573,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002099947596,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:46,.361456640
23,0.0002175818954129,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002200004237,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:46,.530863140
24,0.0002299111802131,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002300014312,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:46,.700267580
25,0.0002432325563859,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002400054800,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:46,.869669280
26,0.000257205683738,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002500095579,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:47,.039073720
27,0.0002710938861128,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002599951404,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:47,.208491080
28,0.0002848402946256,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002699962643,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:47,.377907940
29,0.000304255343508,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002800007933,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:47,.547318100
30,0.0003145156952087,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0002900042164,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:47,.716722140
31,0.0003354754007887,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003000069119,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:47,.886127600
32,0.0003450554504525,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003099957539,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:48,.055523220
33,0.0003569594991859,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003199976345,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:48,.224904620
34,0.0003641303337645,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003299991658,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:48,.394298600
35,0.0003954636922572,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003400026471,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:48,.563708720
36,0.0003823692386504,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003500051098,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:48,.733089460
37,0.0003933803818654,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003600058262,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:48,.902484600
38,0.000401033059461,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003699936788,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:49,.071888360
39,0.00041054218309,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003799958504,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:49,.241283940
40,0.0004177411901765,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0003899995063,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:49,.410687900
41,0.0004277321859263,Volt DC,.01,5.5,F,F,F,F,F,F,Front,F,Main,0.0004000022891,Amp DC,.001,T,4W,F,F,02/14/2024,16:30:49,.580091440
