frequency (Hz), f_err, volt (mV), v_err, phase (degrees), phase_err, rms voltage from multimeter (Ac Volts), rms_err

R0a = 10 kOhms = 10^4 Ohms

------- run 1 -------

100.0, 0.2, 270.3, 0.2, -7.8, 0.3, 0.43980, 0.00010
280.0, 1.0, 259.0, 0.1, -5.7, 0.2, 0.44753, 0.00001
460.0, 1.0, 256.2, 0.1, -5.8, 0.1, 0.45051, 0.00001
640.0, 1.0, 254.1, 0.1, -6.6, 0.2, 0.45310, 0.00002
820.0, 1.0, 252.6, 0.1, -7.4, 0.2, 0.45530, 0.00001
1000.0, 2.0, 250.8, 0.1, -8.4, 0.1, 0.45792, 0.00001
2800.0, 10.0, 229.8, 0.1, -16.6, 0.1, 0.48891, 0.00002
4600.0, 10.0, 209.8, 0.2, -22.2, 0.1, 0.51689, 0.00001 
6400.0, 10.0, 192.6, 0.1, -26.3, 0.1, 0.53917, 0.00002 
8200.0, 20.0, 178.0, 0.1, -29.3, 0.1, 0.55683, 0.00001
10000.0, 20.0, 165.7, 0.3, -31.6, 0.1, 0.57075, 0.00002
28000.0, 100.0, 100.2, 0.1, -38.7, 0.1, 0.63120, 0.00003
46000.0, 100.0, 75.3, 0.2, -36.1, 0.1, 0.64761, 0.00003
64000.0, 200.0, 62.9, 0.1, -31.3, 0.1, 0.65422, 0.00002
82000.0, 200.0, 56.1, 0.1, -26.2, 0.1, 0.65741, 0.00002 
100000.0, 200.0, 51.8, 0.3, -21.1, 1.0, 0.65908, 0.00002

------- run 2 -------

100.0, 0.2, 275.0, 0.5, -7.2, 0.2, 0.43284, 0.00002 
280.0, 1.0, 263.0, 0.2, -5.6, 0.1, 0.44302, 0.00001
460.0, 3.0, 259.8, 0.2, -6.0, 0.1, 0.44651, 0.00001
640.0, 1.0, 257.7, 0.3, -6.5, 0.2, 0.44918, 0.00001
820.0, 1.0, 255.7, 0.3, -7.4, 0.1, 0.45173, 0.00003
1000.0, 20.0, 254.1, 0.1, -8.3, 0.1, 0.45437, 0.00001
2800.0, 10.0, 233.1, 0.1, -16.4, 0.1, 0.48534, 0.00001
4600.0, 10.0, 213.1, 0.1, -22.1, 0.1, 0.51357, 0.00001
6400.0, 10.0, 195.8, 0.1, -26.1, 0.1, 0.53615, 0.00002
8200.0, 20.0, 181.0, 0.1, -29.1, 0.1, 0.55402, 0.00001
10000.0, 20.0, 168.4, 0.1, -31.4, 0.1, 0.56838, 0.00001
28000.0, 100.0, 101.8, 0.1, -38.5, 0.1, 0.62983, 0.00005
46000.0, 100.0, 76.6, 0.1, -36.0, 0.2, 0.64643, 0.00001
64000.0, 200.0, 64.1, 0.1, -31.2, 0.1, 0.65315, 0.00002
82000.0, 200.0, 57.1, 0.1, -26.0, 0.1, 0.65640, 0.00002
100000.0, 200.0, 52.7, 0.1, -21.0, 0.5, 0.65813, 0.00003

------- run 3 -------

100.0, 0.1, 279.0, 0.2, -7.0, 0.2, 0.42892, 0.00002
280.0, 1.0, 266.5, 0.2, -5.6, 0.1, 0.43963, 0.00001
460.0, 3.0, 263.1, 0.1, -6.0, 0.1, 0.44327, 0.00002
640.0, 1.0, 261.0, 0.2, -6.6, 0.1, 0.44603, 0.00001
820.0, 1.0, 258.8, 0.2, -7.4, 0.1, 0.44870, 0.00002
1000.0, 20.0, 257.0, 0.2, -8.3, 0.1, 0.45143, 0.00001
2800.0, 10.0, 235.9, 0.2, -16.3, 0.2, 0.48267, 0.00002
4600.0, 10.0, 215.7, 0.1, -21.9, 0.2, 0.51100, 0.00001
6400.0, 10.0, 198.4, 0.1, -26.0, 0.1, 0.53374, 0.00003
8200.0, 20.0, 183.5, 0.2, -29.0, 0.2, 0.55170, 0.00001
10000.0, 20.0, 170.6, 0.2, -31.3, 0.1, 0.56616, 0.00001
28000.0, 100.0, 103.5, 0.1, -38.2, 0.1, 0.62822, 0.00001
46000.0, 100.0, 78.1, 0.1, -35.6, 0.2, 0.64509, 0.00002
64000.0, 200.0, 65.3, 0.1, -31.0, 0.1, 0.65193, 0.00002
82000.0, 200.0, 58.2, 0.1, -25.9, 0.1, 0.65525, 0.00001
100000.0, 200.0, 54.1, 0.1, -21.0, 0.3, 0.65700, 0.00002
