frequency (Hz), f_err, volt (mV), v_err, phase (degrees), phase_err, rms voltage from multimeter (Ac Volts), rms_err

R0a = 10 kOhms = 10^4 Ohms

100.0, 0.2, 270.3, 0.2, -7.8, 0.3, 0.43980, 0.00010
280.0, 1.0, 259.0, 0.1, -5.7, 0.2, 0.44753, 0.00001
460.0, 1.0, 256.2, 0.1, -5.8, 0.1, 0.45051, 0.00001
640.0, 1.0, 254.1, 0.1, -6.6, 0.2, 0.45310, 0.00002
820.0, 1.0, 252.6, 0.1, -7.4, 0.2, 0.45530, 0.00001
1000.0, 2.0, 250.8, 0.1, -8.4, 0.1, 0.45792, 0.00001
2800.0, 10.0, 229.8, 0.1, -16.6, 0.1, 0.48891, 0.00002
4600.0, 10.0, 209.8, 0.2, -22.2, 0.1, 0.51689, 0.00001 
6400.0, 10.0, 192.6, 0.1, -26.3, 0.1, 0.53917, 0.00002 
8200.0, 20.0, 178.0, 0.1, -29.3, 0.1, 0.55683, 0.00001
10000.0, 20.0, 165.7, 0.3, -31.6, 0.1, 0.57075, 0.00002
28000.0, 100.0, 100.2, 0.1, -38.7, 0.1, 0.63120, 0.00003
46000.0, 100.0, 75.3, 0.2, -36.1, 0.1, 0.64761, 0.00003
64000.0, 200.0, 62.9, 0.1, -31.3, 0.1, 0.65422, 0.00002
82000.0, 200.0, 56.1, 0.1, -26.2, 0.1, 0.65741, 0.00002 
100000.0, 200.0, 51.8, 0.3, -21.1, 1.0, 0.65908, 0.00002
