frequency (Hz), f_err, volt (mV), v_err, phase (degrees), phase_err, rms voltage from multimeter (Ac Volts), rms_err

R0a = 10 kOhms = 10^4 Ohms

100.0, 0.2, 275.0, 0.5, -7.2, 0.2, 0.43284, 0.00002 
280.0, 1.0, 263.0, 0.2, -5.6, 0.1, 0.44302, 0.00001
460.0, 3.0, 259.8, 0.2, -6.0, 0.1, 0.44651, 0.00001
640.0, 1.0, 257.7, 0.3, -6.5, 0.2, 0.44918, 0.00001
820.0, 1.0, 255.7, 0.3, -7.4, 0.1, 0.45173, 0.00003
1000.0, 20.0, 254.1, 0.1, -8.3, 0.1, 0.45437, 0.00001
2800.0, 10.0, 233.1, 0.1, -16.4, 0.1, 0.48534, 0.00001
4600.0, 10.0, 213.1, 0.1, -22.1, 0.1, 0.51357, 0.00001
6400.0, 10.0, 195.8, 0.1, -26.1, 0.1, 0.53615, 0.00002
8200.0, 20.0, 181.0, 0.1, -29.1, 0.1, 0.55402, 0.00001
10000.0, 20.0, 168.4, 0.1, -31.4, 0.1, 0.56838, 0.00001
28000.0, 100.0, 101.8, 0.1, -38.5, 0.1, 0.62983, 0.00005
46000.0, 100.0, 76.6, 0.1, -36.0, 0.2, 0.64643, 0.00001
64000.0, 200.0, 64.1, 0.1, -31.2, 0.1, 0.65315, 0.00002
82000.0, 200.0, 57.1, 0.1, -26.0, 0.1, 0.65640, 0.00002
100000.0, 200.0, 52.7, 0.1, -21.0, 0.5, 0.65813, 0.00003
