Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.09
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,325.24
Elapsed Live Time:,324.5
Start Time:,September 15, 2023, 12:34:20
End Time:,September 15, 2023, 12:39:45
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,27
28,,40
29,,24
30,,18
31,,32
32,,15
33,,36
34,,25
35,,23
36,,24
37,,22
38,,22
39,,33
40,,37
41,,31
42,,33
43,,48
44,,48
45,,49
46,,59
47,,61
48,,73
49,,73
50,,89
51,,92
52,,99
53,,130
54,,123
55,,136
56,,137
57,,132
58,,120
59,,93
60,,92
61,,112
62,,103
63,,78
64,,88
65,,87
66,,64
67,,67
68,,59
69,,48
70,,75
71,,58
72,,59
73,,47
74,,57
75,,57
76,,56
77,,65
78,,62
79,,74
80,,61
81,,75
82,,41
83,,63
84,,59
85,,50
86,,65
87,,52
88,,82
89,,56
90,,55
91,,58
92,,66
93,,71
94,,63
95,,64
96,,57
97,,67
98,,78
99,,83
100,,62
101,,67
102,,83
103,,53
104,,60
105,,73
106,,76
107,,80
108,,85
109,,65
110,,78
111,,82
112,,80
113,,89
114,,69
115,,87
116,,92
117,,79
118,,102
119,,113
120,,104
121,,98
122,,94
123,,110
124,,110
125,,136
126,,124
127,,125
128,,128
129,,122
130,,114
131,,137
132,,141
133,,141
134,,172
135,,134
136,,145
137,,151
138,,173
139,,167
140,,160
141,,151
142,,170
143,,138
144,,154
145,,142
146,,146
147,,144
148,,147
149,,150
150,,169
151,,151
152,,131
153,,153
154,,126
155,,125
156,,142
157,,136
158,,123
159,,149
160,,125
161,,129
162,,129
163,,132
164,,108
165,,124
166,,109
167,,111
168,,104
169,,118
170,,100
171,,108
172,,99
173,,85
174,,100
175,,89
176,,97
177,,97
178,,89
179,,86
180,,87
181,,100
182,,104
183,,112
184,,99
185,,98
186,,102
187,,89
188,,99
189,,93
190,,100
191,,87
192,,92
193,,96
194,,92
195,,89
196,,100
197,,63
198,,106
199,,97
200,,77
201,,107
202,,93
203,,81
204,,98
205,,84
206,,74
207,,89
208,,73
209,,102
210,,84
211,,98
212,,73
213,,92
214,,71
215,,88
216,,100
217,,108
218,,96
219,,96
220,,99
221,,78
222,,95
223,,102
224,,99
225,,72
226,,78
227,,84
228,,97
229,,68
230,,96
231,,92
232,,77
233,,95
234,,96
235,,89
236,,74
237,,75
238,,108
239,,93
240,,85
241,,89
242,,93
243,,83
244,,88
245,,84
246,,115
247,,84
248,,72
249,,74
250,,83
251,,94
252,,85
253,,103
254,,74
255,,67
256,,89
257,,85
258,,77
259,,84
260,,79
261,,68
262,,80
263,,90
264,,84
265,,72
266,,89
267,,88
268,,81
269,,73
270,,80
271,,79
272,,80
273,,80
274,,67
275,,72
276,,90
277,,91
278,,83
279,,91
280,,62
281,,67
282,,86
283,,81
284,,88
285,,79
286,,58
287,,80
288,,82
289,,93
290,,81
291,,66
292,,81
293,,73
294,,85
295,,75
296,,86
297,,67
298,,93
299,,85
300,,60
301,,75
302,,76
303,,65
304,,76
305,,65
306,,72
307,,69
308,,72
309,,67
310,,77
311,,64
312,,86
313,,83
314,,66
315,,67
316,,68
317,,74
318,,84
319,,77
320,,73
321,,60
322,,86
323,,69
324,,72
325,,70
326,,83
327,,77
328,,60
329,,62
330,,86
331,,81
332,,85
333,,96
334,,56
335,,89
336,,69
337,,59
338,,75
339,,71
340,,88
341,,64
342,,76
343,,67
344,,71
345,,75
346,,77
347,,71
348,,81
349,,81
350,,80
351,,62
352,,84
353,,76
354,,67
355,,65
356,,76
357,,67
358,,71
359,,91
360,,97
361,,67
362,,57
363,,73
364,,61
365,,75
366,,75
367,,86
368,,73
369,,77
370,,80
371,,72
372,,85
373,,88
374,,74
375,,79
