eta,Re1_c,Taylor,k_c
0.99,412.0414,1706.3128,3.12672
0.989,392.9,1707.4654,3.12674
0.988,376.2057,1708.6209,3.12675
0.987,361.4784,1709.7794,3.12677
0.986,348.3599,1710.9409,3.12679
0.985,336.5773,1712.1054,3.1268
0.984,325.9186,1713.273,3.12682
0.983,316.2158,1714.4436,3.12684
0.982,307.3341,1715.6173,3.12686
0.981,299.1641,1716.794,3.12687
0.98,291.6157,1717.9739,3.12689
0.979,284.6138,1719.1568,3.12691
0.978,278.0957,1720.3427,3.12693
0.977,272.0082,1721.5318,3.12694
0.976,266.3059,1722.7241,3.12696
0.975,260.9498,1723.9194,3.12698
0.974,255.9065,1725.1179,3.127
0.973,251.1466,1726.3196,3.12702
0.972,246.6446,1727.5244,3.12703
0.971,242.378,1728.7324,3.12705
0.97,238.3271,1729.9436,3.12707
0.969,234.4744,1731.158,3.12709
0.968,230.8041,1732.3756,3.12711
0.967,227.3025,1733.5964,3.12713
0.966,223.957,1734.8205,3.12715
0.965,220.7563,1736.0478,3.12717
0.964,217.6904,1737.2783,3.12719
0.963,214.75,1738.5122,3.12721
0.962,211.9269,1739.7493,3.12723
0.961,209.2134,1740.9897,3.12725
0.96,206.6028,1742.2334,3.12727
0.959,204.0886,1743.4805,3.12729
0.958,201.6652,1744.7309,3.12731
0.957,199.3271,1745.9846,3.12733
0.956,197.0696,1747.2417,3.12735
0.955,194.888,1748.5021,3.12737
0.954,192.7784,1749.766,3.12739
0.953,190.7368,1751.0332,3.12741
0.952,188.7596,1752.3038,3.12743
0.951,186.8436,1753.5779,3.12746
0.95,184.9856,1754.8554,3.12748
0.949,183.1829,1756.1363,3.1275
0.948,181.4327,1757.4207,3.12752
0.947,179.7327,1758.7086,3.12754
0.946,178.0803,1759.9999,3.12757
0.945,176.4735,1761.2948,3.12759
0.944,174.9102,1762.5931,3.12761
0.943,173.3885,1763.895,3.12763
0.942,171.9066,1765.2004,3.12766
0.941,170.4628,1766.5094,3.12768
0.94,169.0556,1767.8219,3.1277
0.939,167.6833,1769.138,3.12772
0.938,166.3446,1770.4577,3.12775
0.937,165.0382,1771.781,3.12777
0.936,163.7628,1773.108,3.1278
0.935,162.5172,1774.4385,3.12782
0.934,161.3002,1775.7727,3.12784
0.933,160.1108,1777.1106,3.12787
0.932,158.948,1778.4521,3.12789
0.931,157.8109,1779.7974,3.12792
0.93,156.6984,1781.1463,3.12794
0.929,155.6097,1782.4989,3.12797
0.928,154.544,1783.8553,3.12799
0.927,153.5005,1785.2154,3.12802
0.926,152.4784,1786.5793,3.12804
0.925,151.4771,1787.9469,3.12807
0.924,150.4959,1789.3184,3.12809
0.923,149.534,1790.6936,3.12812
0.922,148.5909,1792.0727,3.12814
0.921,147.666,1793.4555,3.12817
0.92,146.7587,1794.8423,3.12819
0.919,145.8684,1796.2329,3.12822
0.918,144.9947,1797.6273,3.12825
0.917,144.1371,1799.0257,3.12827
0.916,143.295,1800.428,3.1283
0.915,142.468,1801.8341,3.12833
0.914,141.6557,1803.2443,3.12836
0.913,140.8576,1804.6583,3.12838
0.912,140.0734,1806.0764,3.12841
0.911,139.3026,1807.4984,3.12844
0.91,138.5449,1808.9244,3.12847
0.909,137.8,1810.3544,3.12849
0.908,137.0674,1811.7885,3.12852
0.907,136.3468,1813.2266,3.12855
0.906,135.6379,1814.6688,3.12858
0.905,134.9405,1816.115,3.12861
0.904,134.2542,1817.5654,3.12864
0.903,133.5787,1819.0198,3.12866
0.902,132.9138,1820.4784,3.12869
0.901,132.2591,1821.9411,3.12872
0.9,131.6145,1823.408,3.12875
0.899,130.9797,1824.879,3.12878
0.898,130.3544,1826.3543,3.12881
0.897,129.7384,1827.8337,3.12884
0.896,129.1315,1829.3174,3.12887
0.895,128.5334,1830.8053,3.1289
0.894,127.944,1832.2975,3.12893
0.893,127.3631,1833.7939,3.12896
0.892,126.7905,1835.2947,3.12899
0.891,126.2259,1836.7997,3.12902
0.89,125.6692,1838.3091,3.12906
0.889,125.1202,1839.8228,3.12909
0.888,124.5788,1841.3409,3.12912
0.887,124.0447,1842.8633,3.12915
0.886,123.5179,1844.3902,3.12918
0.885,122.9981,1845.9214,3.12921
0.884,122.4852,1847.4571,3.12925
0.883,121.9791,1848.9973,3.12928
0.882,121.4796,1850.5419,3.12931
0.881,120.9865,1852.091,3.12934
0.88,120.4999,1853.6446,3.12938
0.879,120.0194,1855.2027,3.12941
0.878,119.545,1856.7653,3.12944
0.877,119.0766,1858.3326,3.12948
0.876,118.614,1859.9043,3.12951
0.875,118.1571,1861.4807,3.12954
0.874,117.7059,1863.0617,3.12958
0.873,117.2601,1864.6474,3.12961
0.872,116.8198,1866.2377,3.12965
0.871,116.3847,1867.8326,3.12968
0.87,115.9549,1869.4323,3.12972
0.869,115.5301,1871.0366,3.12975
0.868,115.1103,1872.6457,3.12979
0.867,114.6955,1874.2596,3.12982
0.866,114.2854,1875.8782,3.12986
0.865,113.8801,1877.5015,3.12989
0.864,113.4794,1879.1297,3.12993
0.863,113.0832,1880.7628,3.12996
0.862,112.6915,1882.4006,3.13
0.861,112.3043,1884.0434,3.13004
0.86,111.9213,1885.691,3.13007
0.859,111.5426,1887.3435,3.13011
0.858,111.168,1889.001,3.13015
0.857,110.7975,1890.6634,3.13018
0.856,110.4311,1892.3307,3.13022
0.855,110.0686,1894.0031,3.13026
0.854,109.7099,1895.6805,3.1303
0.853,109.3552,1897.3629,3.13033
0.852,109.0041,1899.0503,3.13037
0.851,108.6568,1900.7428,3.13041
0.85,108.313,1902.4405,3.13045
0.849,107.9729,1904.1432,3.13049
0.848,107.6363,1905.8511,3.13053
0.847,107.3031,1907.5641,3.13057
0.846,106.9733,1909.2823,3.13061
0.845,106.6469,1911.0057,3.13065
0.844,106.3238,1912.7344,3.13068
0.843,106.0039,1914.4683,3.13072
0.842,105.6872,1916.2074,3.13076
0.841,105.3737,1917.9519,3.13081
0.84,105.0632,1919.7016,3.13085
0.839,104.7558,1921.4567,3.13089
